provincecn,provinceen,citycn,cityen,latitude,longitude,confirmedcases_26-01-2020,deaths_26-01-2020,confirmedcases_27-01-2020,deaths_27-01-2020,confirmedcases_28-01-2020,deaths_28-01-2020
内蒙古,Inner Mongolia,通辽市经济开发区,Tongliao Economic Development Zone,43.65289,122.243444,1,0,1,,1,
内蒙古,Inner Mongolia,锡林郭勒盟,Xilinhot,43.933411,116.086032,1,0,1,0,2,0
内蒙古,Inner Mongolia,兴安盟乌兰浩特,"Xing'an District, Ulanhot City",46.072731,122.093123,1,0,1,0,1,
江苏,Jiangsu,常州,Changzhou,31.811226,119.974061,6,0,8,0,8,0
江苏,Jiangsu,淮安,Huai'an,33.551052,119.113185,2,0,2,0,3,0
江苏,Jiangsu,连云港,Lianyungang,34.596653,119.221611,3,0,3,0,3,0
江苏,Jiangsu,南京,Nanjing,32.060255,118.796877,7,0,10,0,14,0
江苏,Jiangsu,南通,Nantong,31.980171,120.894291,4,0,6,0,6,0
江苏,Jiangsu,宿迁,Suqian,33.963232,118.275198,1,0,3,0,4,0
江苏,Jiangsu,苏州,Suzhou,31.298974,120.585289,8,0,12,0,20,0
江苏,Jiangsu,泰州,Taizhou,32.455536,119.922933,2,0,4,0,8,0
江苏,Jiangsu,无锡,Wuxi,31.491169,120.31191,4,0,6,0,9,0
江苏,Jiangsu,徐州,xuzhou,34.205768,117.284124,3,0,8,0,8,0
江苏,Jiangsu,盐城,Yancheng,33.347316,120.16366,1,0,1,0,6,0
江苏,Jiangsu,扬州,Yangzhou,32.394209,119.412939,4,0,5,0,8,0
江苏,Jiangsu,镇江,Zhenjiang,32.187849,119.425836,2,0,2,0,2,0
江西,Jiangxi,抚州,Fuzhou,27.949217,116.358181,7,0,8,0,9,0
江西,Jiangxi,赣州,Ganzhou,25.830694,114.933546,7,0,10,0,16,0
江西,Jiangxi,吉安,Ji'an,27.087637,114.964696,3,0,3,0,4,0
江西,Jiangxi,景德镇,Jingdezhen,29.268783,117.178443,2,0,2,0,2,0
江西,Jiangxi,九江,Jiujiang,29.705077,116.00193,4,0,9,0,16,0
江西,Jiangxi,南昌,Nanchang,28.682892,115.858197,8,0,17,0,25,0
江西,Jiangxi,萍乡,Pingxiang,27.622768,113.854556,2,0,2,0,2,0
江西,Jiangxi,上饶,Shangrao,28.454862,117.943433,6,0,7,0,9,0
江西,Jiangxi,新余,Xinyu,27.817808,114.917346,3,0,3,0,11,0
江西,Jiangxi,宜春,Yichun,27.815743,114.416785,6,0,10,0,14,0
吉林,Jilin,长春,Changchun,43.817071,125.323544,1,0,1,0,1,0
吉林,Jilin,吉林,Jilin,43.837883,126.549572,2,0,3,0,3,0
吉林,Jilin,四平,Siping,43.166419,124.350398,1,0,1,0,1,0
吉林,Jilin,松原,Songyuan,45.141468,124.825218,2,0,2,0,2,0
辽宁,Liaoning,本溪,Benxi,41.486981,123.685142,2,0,2,0,2,0
辽宁,Liaoning,朝阳,Chaoyang,41.57365,120.4493879,2,0,2,0,3,0
辽宁,Liaoning,大连,Dalian,38.91400300000001,121.614682,5,0,5,0,5,0
辽宁,Liaoning,丹东,Dandong,40.000787,124.35445,4,0,5,0,5,0
辽宁,Liaoning,葫芦岛,Huludao,40.71104,120.83694,2,0,2,0,4,0
辽宁,Liaoning,盘锦,Panjin,41.119997,122.070714,2,0,2,0,2,0
辽宁,Liaoning,沈阳,Shenyang,41.805699,123.431472,7,0,8,0,9,0
辽宁,Liaoning,铁岭,Tieling,42.223828,123.726035,2,0,2,0,2,0
辽宁,Liaoning,营口,Yingkou,40.667433,122.235084,1,0,1,0,1,0
澳门,Macao,澳门,Macao,22.198745,113.543873,6,0,7,0,7,0
宁夏,Ningxia,固原,Guyuan,36.01585499999999,106.24261,1,0,1,0,1,0
宁夏,Ningxia,银川,Yinchuan,38.487193,106.230908,5,0,7,0,7,0
宁夏,Ningxia,中卫,Zhongwei,37.499972,105.196902,1,0,1,0,1,0
青海,Qinghai,西宁,Xining,36.617134,101.778223,6,0,6,0,6,0
陕西,Shaanxi,安康,Ankang,32.684714,109.029022,7,0,8,0,10,0
陕西,Shaanxi,汉中,Hanzhong,33.06748,107.023323,3,0,4,0,6,0
陕西,Shaanxi,商洛,Shangluo,33.870422,109.940477,1,0,2,0,2,0
陕西,Shaanxi,铜川,Tongchuan,34.897887,108.945019,5,0,5,0,5,0
陕西,Shaanxi,渭南,Weinan,34.49938,109.502882,1,0,3,0,3,0
陕西,Shaanxi,西安,Xi'an,34.341574,108.93977,12,0,15,0,18,0
陕西,Shaanxi,咸阳,Xianyang,34.329605,108.708991,4,0,4,0,5,0
陕西,Shaanxi,延安,Yan'an,36.585445,109.489757,2,0,2,0,2,0
山东,Shandong,滨州,Binzhou,37.38198,117.970699,3,0,4,0,6,0
山东,Shandong,德州,Dezhou,37.43409200000001,116.357464,6,0,8,0,11,0
山东,Shandong,菏泽,Heze,35.23375,115.480656,4,0,5,0,7,0
山东,Shandong,济南,Jinan,36.6512,117.120095,7,0,10,0,11,0
山东,Shandong,济宁,Jining,35.41498199999999,116.587282,5,0,5,0,5,0
山东,Shandong,聊城,Liaocheng,36.45703,115.98546,1,0,3,0,3,0
山东,Shandong,临沂,Linyi,35.104673,118.356414,7,0,8,0,15,0
山东,Shandong,青岛,Qingdao,36.067108,120.382609,13,0,15,0,15,0
山东,Shandong,日照,Rizhao,35.416734,119.526925,5,0,6,0,7,0
山东,Shandong,潍坊,Weifang,36.706962,119.161748,3,0,3,0,5,0
山东,Shandong,威海,Weihai,37.513068,122.120419,9,0,10,0,11,0
山东,Shandong,烟台,Yantai,37.46453899999999,121.447852,8,0,10,0,10,0
山东,Shandong,枣庄,Zaozhuang,34.810487,117.323725,2,0,5,0,8,0
山东,Shandong,淄博,Zibo,36.813546,118.055019,2,0,2,0,4,0
上海,Shanghai,宝山区,Baoshan,31.405457,121.489612,1,0,1,0,2,0
上海,Shanghai,长宁区,Changning,31.220367,121.424624,5,0,5,0,5,0
上海,Shanghai,奉贤区,Fengxian,30.917795,121.474042,1,0,1,0,1,0
上海,Shanghai,外地来沪人员,Foreigners coming to Shanghai,31.230416,121.473701,23,0,33,0,40,0
上海,Shanghai,虹口区,Hongkou,31.2646,121.505132,2,0,2,0,2,0
上海,Shanghai,黄浦区,Huangpu,31.231763,121.484443,1,0,2,0,3,0
上海,Shanghai,嘉定区,Jiading,31.37586899999999,121.265374,1,0,1,0,1,0
上海,Shanghai,静安区,Jing'an,31.223427,121.455964,5,0,5,0,7,0
上海,Shanghai,闵行区,Minhang,31.112818,121.381716,2,0,2,0,2,0
上海,Shanghai,浦东新区,Pudong New Area,31.221517,121.544379,7,0,9,0,12,0
上海,Shanghai,青浦区,Qingpu,31.150681,121.124178,2,0,2,0,2,0
上海,Shanghai,徐汇区,Xuhui,31.188637,121.436539,3,0,3,0,3,0
山西,Shanxi,长治,Changzhi,36.195409,113.116404,1,0,1,0,1,0
山西,Shanxi,大同,Datong,40.076762,113.300129,1,0,1,0,3,0
山西,Shanxi,晋中,Jinzhong,37.687357,112.752652,2,0,5,0,9,0
山西,Shanxi,临汾,Linfen,36.088005,111.518975,1,0,1,0,1,0
山西,Shanxi,吕梁,Luliang,37.518314,111.144319,1,0,3,0,3,0
山西,Shanxi,朔州,Shuozhou,39.331595,112.432825,2,0,2,0,2,0
山西,Shanxi,太原,Taiyuan,37.87059,112.548879,2,0,3,0,3,0
山西,Shanxi,阳泉,Yangquan,37.856971,113.580519,1,0,1,0,1,0
山西,Shanxi,运城,Yuncheng,35.026516,111.00746,2,0,3,0,4,0
四川,Sichuan,成都,Chengdu,30.572815,104.066801,33,0,37,0,46,0
四川,Sichuan,达州,Dazhou,31.20957099999999,107.468023,3,0,3,0,4,0
四川,Sichuan,德阳,Deyang,31.126855,104.397894,1,0,1,0,2,0
四川,Sichuan,甘孜州,Ganzi,30.04952,101.96231,2,0,3,0,3,0
四川,Sichuan,广安,Guang'an,30.456224,106.633088,6,0,7,0,7,0
四川,Sichuan,乐山,Leshan,29.552115,103.765678,1,0,2,0,2,0
四川,Sichuan,凉山州,Liangshan,27.88157,102.267712,1,0,2,0,2,0
四川,Sichuan,泸州,Luzhou,28.871569,105.44174,3,0,4,0,5,0
四川,Sichuan,眉山,Meishan,30.07728,103.848396,1,0,1,0,1,0
四川,Sichuan,绵阳,Mianyang,31.46746,104.679004,7,0,8,0,8,0
四川,Sichuan,南充,Nanchong,30.837793,106.110698,2,0,4,0,5,0
四川,Sichuan,内江,Neijiang,29.580228,105.058433,1,0,3,0,4,0
四川,Sichuan,遂宁,Suining,30.532847,105.592898,2,0,3,0,3,0
四川,Sichuan,雅安,Ya'an,29.980537,103.013261,1,0,2,0,2,0
四川,Sichuan,宜宾,Yibin,28.751836,104.643159,1,0,1,0,2,0
四川,Sichuan,自贡,Zigong,29.33903,104.778442,2,0,7,0,7,0
四川,Sichuan,资阳,Ziyang,30.128901,104.627636,2,0,2,0,2,0
台湾,Taiwan,台湾,Taiwan,23.69781,120.960515,5,0,5,0,8,0
天津,Tianjin,滨海新区,Binhai New Area,39.00366,117.710496,1,0,1,0,1,0
天津,Tianjin,外地来津,Foreigners coming to Tianjin,39.136873,117.220272,2,0,2,0,4,0
天津,Tianjin,河北区,Hebei,39.14786900000001,117.196648,7,0,7,0,7,0
天津,Tianjin,河东区,Hedong,39.128291,117.251586,5,0,6,0,6,0
天津,Tianjin,和平区,Heping,39.116949,117.21451,1,0,1,0,2,0
天津,Tianjin,河西区,Hexi,39.109563,117.223371,3,0,3,0,3,0
天津,Tianjin,红桥区,Hongqiao,39.167345,117.151533,1,0,1,0,1,0
天津,Tianjin,南开区,Nankai,39.138202,117.150738,1,0,1,0,1,0
天津,Tianjin,西青区,Xiqing,39.141152,117.008826,1,0,2,0,2,0
新疆,Xinjiang,乌鲁木齐,Urumqi,43.825592,87.61684799999999,4,0,5,0,6,0
新疆,Xinjiang,伊犁州,Yili,43.91682300000001,81.324136,1,0,2,0,4,0
云南,Yunnan,保山,Baoshan,25.112046,99.16176100000001,3,0,4,0,4,0
云南,Yunnan,大理,Dali,25.606486,100.267638,2,0,3,0,3,0
云南,Yunnan,德宏,Dehong,24.433353,98.58489499999999,2,0,2,0,2,0
云南,Yunnan,红河,Honghe Hani and Yi Autonomous Prefecture,23.36225,103.374576,2,0,2,0,2,0
云南,Yunnan,昆明,Kunming,24.880095,102.832891,7,0,12,0,15,0
云南,Yunnan,丽江,Lijiang,26.855047,100.22775,5,0,6,0,6,0
云南,Yunnan,曲靖,Qujing,25.489999,103.796167,2,0,2,0,5,0
云南,Yunnan,西双版纳,Xishuangbanna,22.00881,100.79715,1,0,6,0,6,0
云南,Yunnan,玉溪,Yuxi,24.347324,102.527197,1,0,5,0,5,0
云南,Yunnan,昭通,Zhaotong,27.338257,103.717465,1,0,2,0,2,0
浙江,Zhejiang,杭州,Hangzhou,30.274084,120.15507,27,0,32,0,51,0
浙江,Zhejiang,湖州,Huzhou,30.89440999999999,120.086809,3,0,3,0,5,0
浙江,Zhejiang,嘉兴,Jiaxing,30.753924,120.758543,8,0,11,0,14,0
浙江,Zhejiang,金华,Jinhua,29.079175,119.64742,5,0,7,0,13,0
浙江,Zhejiang,丽水,Lishui,28.46763,119.922796,3,0,5,0,6,0
浙江,Zhejiang,宁波,Ningbo,29.868336,121.54399,13,0,17,0,20,0
浙江,Zhejiang,衢州,Quzhou,28.970079,118.859457,5,0,5,0,8,0
浙江,Zhejiang,绍兴,shaoxing,29.995762,120.586109,6,0,7,0,19,0
浙江,Zhejiang,台州,Taizhou,28.65638,121.42076,22,0,22,0,40,0
浙江,Zhejiang,温州,Wenzhou,27.993828,120.699361,32,0,60,0,114,0
浙江,Zhejiang,舟山,Zhoushan,29.98529499999999,122.207215,4,0,4,0,6,0
湖北,Hubei,神农架林区,Shennongjia,31.743483,110.680447,,,1,0,3,0
河南,Henan,焦作,Jiaozuo,35.215892,113.241823,,,2,0,2,0
重庆,Chongqing,黔江区,District Qianjiang,29.533609,108.770677,,,1,0,1,0
重庆,Chongqing,南岸区,Nan'an,29.500296,106.644428,,,1,0,1,0
山东,Shandong,泰安,Tai'an,36.200252,117.087614,,,1,0,3,0
福建,Fujian,龙岩,Longyan,25.075123,117.017536,,,1,0,1,0
江西,Jiangxi,鹰潭,Yingtan,28.260189,117.069202,,,1,0,1,0
陕西,Shanxi,宝鸡,Baoji,34.363184,107.237743,,,3,0,4,0
海南,Hainan,琼海市,Qionghai,19.258341,110.474648,,,1,0,1,0
海南,Hainan,东方市,Dongfang,19.09535,108.651815,,,1,0,1,0
海南,Hainan,琼中县,Qiongzhong,19.033369,109.838389,,,1,0,1,0
河北,Hebei,邯郸,Handan,36.625656,114.538961,,,4,0,4,0
河北,Hebei,衡水,Hengshui,37.73892000000001,115.670177,,,2,0,3,0
河北,Hebei,唐山,Tangshan,39.63086699999999,118.180193,,,1,0,3,0
辽宁,Liaoning,辽阳,Liaoyang,41.267244,123.236944,,,1,0,1,0
甘肃,Gansu,金昌,Jinchang,38.520089,102.188043,,,1,0,1,
甘肃,Gansu,天水,Tianshui,34.58088499999999,105.72498,,,1,0,1,
内蒙古,Inner Mongolia,包头,Baotou,40.65797800000001,109.840313,,,3,0,3,0
内蒙古,Inner Mongolia,呼和浩特（新城区）,Hohhot,40.842356,111.749995,,,2,0,2,0
内蒙古,Inner Mongolia,赤峰市林西县,Chifeng Linxi,43.61812,118.05545,,,1,0,1,
内蒙古,Inner Mongolia,通辽,Tongliao,43.65289,122.243444,,,1,0,1,0
宁夏,Ningxia,吴忠,Wuzhong,37.99746,106.198393,,,2,0,3,0
新疆,Xinjiang,吐鲁番市,Turpan,42.951303,89.189752,,,1,0,1,0
新疆,Xinjiang,第七师,Kuytun,44.4289,84.917,,,1,0,1,0
新疆,Xinjiang,第八师石河子市,Shihezi,44.306097,86.080602,,,1,0,1,0
吉林,Jilin,公主岭,Gongzhuling,43.504687,124.82283,,,1,0,1,0
广东,Guangdong,河源,Heyuan,23.743685,114.700961,,,,,1,0
辽宁,Liaoning,锦州,Jinzhou,41.095685,121.1268459,,,,,4,0
内蒙古,Inner Mongolia,呼伦贝尔,Hulunbeier,49.211742,119.765607,,,,,2,0
内蒙古,Inner Mongolia,兴安盟,Hing'an,43.37822,115.0594815,,,,,1,0
广东,Guangdong,茂名,Maoming,21.662991,110.925439,,,,,2,0
河南,Henan,濮阳,Puyang,35.761829,115.029215,,,,,1,0
安徽,Anhui,宿松,Susong,30.153746,116.129105,,,,,4,0
重庆,Chongqing,渝中区,Yuzhong,29.552736,106.568896,,,,,1,0
四川,Sichuan,巴中,Bazhong,31.867903,106.747477,,,,,2,0
四川,Sichuan,广元,Guangyuan,32.435435,105.843357,,,,,1,0
北京,Beijing,门头沟,Mentougou,39.940646,116.102009,,,,,1,0
云南,Yunnan,普洱,Pu'er,22.825065,100.966512,,,,,1,0
河北,Hebei,张家口,Zhangjiakou,40.76754400000001,114.886335,,,,,1,0
黑龙江,Heilongjiang,鸡西,Jixi,45.295075,130.969333,,,,,1,0
黑龙江,Heilongjiang,大兴安岭,Daxinganling,52.335262,124.711526,,,,,1,0
甘肃,Gansu,金昌市,Jinchang,38.520089,102.188043,,,,,1,0
甘肃,Gansu,天水市,Tianshui,34.58088499999999,105.72498,,,,,1,0
甘肃,Gansu,平凉市,Pingliang,35.543061,106.665131,,,,,1,0
内蒙古,Inner Mongolia,巴彦淖尔,Bayannaoer,40.743213,107.387657,,,,,1,0
吉林,Jilin,通化,Tonghua,41.728401,125.939697,,,,,1,0